scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
66,428.465,142.935,1.0,425.977,151.468,1.0,408.846,173.722,1.0,341.417,136.288,1.0,348.696,135.438,1.0,379.579,132.728,1.0
67,428.502,142.919,1.0,425.952,150.659,1.0,409.417,173.906,1.0,341.639,136.685,1.0,346.248,137.959,1.0,379.83,132.907,1.0
68,428.211,142.144,1.0,424.15,146.228,1.0,409.447,173.568,1.0,342.095,137.079,1.0,347.077,137.937,1.0,380.109,133.07,1.0
69,428.338,141.663,1.0,424.277,145.227,1.0,409.769,173.581,1.0,342.117,137.352,1.0,347.444,137.706,1.0,380.917,133.301,1.0
70,428.331,141.665,1.0,424.292,145.227,1.0,409.768,173.577,1.0,342.114,137.355,1.0,347.443,137.7,1.0,380.92,133.297,1.0
71,428.226,141.073,1.0,425.168,144.661,1.0,409.933,173.383,1.0,342.379,138.486,1.0,347.087,138.138,1.0,380.175,133.118,1.0
72,342.475,138.582,1.0,347.504,138.04,1.0,380.26,133.145,1.0,427.933,140.198,1.0,425.775,144.259,1.0,410.216,173.396,1.0
73,428.39,139.506,1.0,425.082,145.818,1.0,410.2,173.52,1.0,342.536,138.336,1.0,347.366,138.185,1.0,380.338,133.32,1.0
74,342.513,138.483,1.0,347.745,138.341,1.0,380.385,133.201,1.0,428.125,139.059,1.0,426.571,144.148,1.0,410.3,173.485,1.0
75,428.867,139.568,1.0,425.847,144.398,1.0,410.483,173.745,1.0,342.805,138.93,1.0,347.737,138.497,1.0,380.359,133.004,1.0
